track_uri,track_name,album_name,artist_names,release_date,duration_ms,popularity,explicit,added_by,added_at,genres,record_label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
spotify:track:62RHWsSdkQqU389pDtL0Bp,A Prayer For England,100th Window,Massive Attack;Sinéad O'Connor,10/02/2003,348600,49,FALSE,ingrify,20/03/2026 13:48,"triphop,downtempo",Virgin Records,0.461,0.546,5,-12.595,0,0.294,0.242,0.742,0.114,0.119,162.369,4
spotify:track:4LImc8oAk3fo7wugjJqV87,Small Time Shot Away,100th Window,Massive Attack;Damon Albarn,10/02/2003,479440,38,FALSE,ingrify,20/03/2026 13:49,"triphop,downtempo",Virgin Records,0.047,0.333,2,-14.765,0,0.299,0.062,0.895,0.129,0.314,110.026,4
spotify:track:0YBNkK5AGE3fvIjr7Ctj1I,Name Taken,100th Window,Massive Attack;Horace Andy,10/02/2003,469133,33,FALSE,ingrify,20/03/2026 13:49,"triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga",Virgin Records,0.496,0.676,7,-11.236,1,0.347,0.928,0.905,0.155,0.395,160.038,4
spotify:track:2ttOFglLynQA0J1B7RhlgX,Pray For Rain,Heligoland,Massive Attack;Tunde Adebimpe,08/02/2010,403533,48,FALSE,ingrify,20/03/2026 13:49,"triphop,downtempo",Virgin Records,0.665,0.393,0,-12.425,1,0.265,0.437,0.796,0.116,0.223,92.027,4
spotify:track:3vpzJwxVjwcbuqPclqOX9I,Babel,Heligoland,Massive Attack;Martina Topley-Bird,08/02/2010,319692,44,FALSE,ingrify,20/03/2026 13:49,"triphop,downtempo",Virgin Records,0.628,0.654,4,-8.866,0,0.431,0.105,0.049,0.157,0.542,15.802,4
spotify:track:1r9mGafUiSgumJoRqyLrSt,Splitting The Atom,Heligoland,Massive Attack;Horace Andy,08/02/2010,316627,47,FALSE,ingrify,20/03/2026 13:49,"triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga",Virgin Records,0.072,0.358,0,-9.776,0,0.351,0.495,0.354,0.186,0.059,100.044,4
spotify:track:3zkPvQZx6ZflYZtw6PZ82X,Girl I Love You,Heligoland,Massive Attack;Horace Andy,08/02/2010,326680,57,FALSE,ingrify,20/03/2026 13:49,"triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga",Virgin Records,0.549,0.084,7,-8.935,1,0.392,0.115,0.751,0.142,0.546,100.026,4
spotify:track:5HZrnSHCqaazNzr5w1enKG,Psyche,Heligoland,Massive Attack;Martina Topley-Bird,08/02/2010,204800,43,FALSE,ingrify,20/03/2026 13:49,"triphop,downtempo",Virgin Records,0.695,0.384,0,-15.257,0,0.345,0.876,0.467,0.102,0.375,115.009,4
spotify:track:6zk1khryPZPj0fwcw4PoRO,Flat Of The Blade,Heligoland,Massive Attack;Guy Garvey,08/02/2010,330324,39,FALSE,ingrify,20/03/2026 13:49,"triphop,downtempo",Virgin Records,0.036,0.347,2,-13.945,1,0.503,0.745,0.508,0.107,0.913,147.263,5
spotify:track:2BndJYJQ17UcEeUFJP5JmY,Paradise Circus,Heligoland,Massive Attack;Hope Sandoval,08/02/2010,297774,67,FALSE,ingrify,20/03/2026 13:49,"triphop,downtempo",Virgin Records,0.081,0.591,8,-13.385,1,0.638,0.414,0.799,0.072,0.297,136.028,4
spotify:track:6nS5Vfs6Kv75ZFUa2MKvaz,Rush Minute,Heligoland,Massive Attack,08/02/2010,290962,42,FALSE,ingrify,20/03/2026 13:50,"triphop,downtempo",Virgin Records,0.652,0.359,4,-10.197,0,0.989,0.038,0.789,0.119,0.672,140.025,3
spotify:track:4MeckCCA1IaxipPl3y1agG,Saturday Come Slow,Heligoland,Massive Attack;Damon Albarn,08/02/2010,223766,48,FALSE,ingrify,20/03/2026 13:50,"triphop,downtempo",Virgin Records,0.646,0.433,6,-1.197,1,0.351,0.318,0.667,0.114,0.234,146.113,4
spotify:track:4y6aEDPYJ2ObOWoDL84W9u,Atlas Air,Heligoland,Massive Attack,08/02/2010,471528,47,FALSE,ingrify,20/03/2026 13:50,"triphop,downtempo",Virgin Records,0.678,0.598,8,-1.004,0,0.303,0.118,0.878,0.119,0.712,10.621,4
